Price,Close,High,Low,Open,Volume
Date,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS
9/26/2023,813.881408691406,823.443685062597,811.552801523787,818.588216758851,1569635
9/27/2023,823.146362304687,825.425436046479,814.030006857362,818.290894371175,2463842
9/28/2023,815.615417480468,833.699467790909,811.701383742607,825.673146365734,5057959
9/29/2023,817.646850585937,824.929992089802,814.822729640238,818.984550705371,1468496
10/3/2023,823.840026855468,829.141354617037,816.755018276776,818.489105364413,2453090
10/4/2023,817.101806640625,837.762251821348,811.899545408668,823.394101752134,4096647
10/5/2023,817.696411132812,824.434566164083,812.791409730876,823.294999001961,2083505
10/6/2023,823.195922851562,828.893637635067,818.885501946539,822.452742662409,1877058
10/9/2023,782.865966796875,811.354539536791,777.86189915946,807.589105496764,5994282
10/10/2023,812.048217773437,816.21003891724,793.270519616628,793.270519616628,7591327
10/11/2023,807.4404296875,819.876359149354,804.963162540541,819.876359149354,3281387
10/12/2023,807.53955078125,815.764065553232,805.161350145425,811.106791254832,2563606
10/13/2023,806.350463867187,817.299972662993,798.522275417612,804.616376848118,3801000
10/16/2023,798.324157714843,811.05728702091,795.945956993947,811.05728702091,2664794
10/17/2023,797.779113769531,806.994596240158,796.68914038147,804.616395509644,2162192
10/18/2023,791.338256835937,801.693246438534,788.167403017098,801.594179936755,2271927
10/19/2023,785.640502929687,790.050050682768,780.289642015968,789.505063989726,2862500
10/20/2023,786.433288574218,795.698243934821,781.478754054076,784.600074513671,2434862
10/23/2023,764.435119628906,788.563677805663,762.89922607107,786.433264315811,2002377
10/25/2023,762.106506347656,776.226930297976,754.129717545437,765.475614148919,2581498
10/26/2023,763.345092773437,764.781919849153,747.639242877224,757.052858261364,3855358
10/27/2023,775.285583496093,779.249211099897,766.020567684107,767.853781738961,2995404
10/30/2023,777.861938476562,787.176487791785,772.709210354953,778.753778903822,3522068
10/31/2023,777.614135742187,783.906369927906,775.384595372107,782.618203143446,2825760
11/1/2023,762.106506347656,783.311939138797,760.223819442376,777.614224211475,2693768
11/2/2023,767.259216308593,776.375572071579,765.029675737871,769.835610589523,1741799
11/3/2023,788.167358398437,791.53640551027,770.231907540145,772.907368218471,4310765
11/6/2023,795.202758789062,798.918659531067,792.03184472652,794.211851924527,2270316
11/7/2023,790.297729492187,801.049104876551,788.761836003036,795.698183807083,2394891
11/8/2023,811.255493164062,816.309094174695,792.775055240573,794.707335796458,5123208
11/9/2023,798.869140625,820.173638594948,790.842758590088,817.498177916645,4982049
11/10/2023,801.247314453125,811.35457717268,798.86917412392,800.652794490863,3903183
11/13/2023,802.485900878906,820.470884680819,800.15729393691,802.634561100801,1050882
11/15/2023,803.377746582031,810.561821404997,801.693192803373,810.561821404997,1694698
11/16/2023,806.201843261718,810.958244846162,800.751855219688,806.994617179231,1689762
11/17/2023,802.68408203125,814.475897742495,801.693175180898,804.319102526391,3218979
11/20/2023,796.292785644531,808.580055782306,793.815518316766,802.684147446195,3227659
11/21/2023,794.063171386718,807.490007441762,792.031824462425,797.680005541795,3643664
11/22/2023,784.69921875,797.630542035937,781.379644260403,796.689168360374,3212329
11/23/2023,785.888244628906,797.382801051061,784.253284518621,787.770991946375,3776615
11/24/2023,788.31591796875,795.648652716375,777.861862988942,788.662771647983,4421350
11/28/2023,830.082702636718,846.630859572226,798.67094255198,798.67094255198,15929818
11/29/2023,827.952270507812,842.270887694653,825.722729922738,842.270887694653,8057644
11/30/2023,817.99365234375,831.370895598311,815.516385074386,831.370895598311,5998210
12/1/2023,820.272705078125,831.569067728493,817.993631344849,831.569067728493,2932775
12/4/2023,870.660400390625,875.317614589019,850.693601509662,857.134496570597,11064795
12/5/2023,1003.88775634765,1014.9859862055,871.998072130049,875.96169973064,46564412
12/6/2023,1008.69366455078,1072.65669117566,998.933195553144,1035.49768339821,41008947
12/7/2023,1030.19641113281,1049.12270925168,1012.36008644187,1019.64322816527,14840081
12/8/2023,1013.64819335937,1045.40674640288,983.276873643854,1038.47039832248,12202462
12/11/2023,1022.51684570312,1038.47042246689,1006.41460871353,1017.46324474768,7889666
12/12/2023,1032.47534179687,1038.91623630829,1013.94543212506,1027.61999501035,4902289
12/13/2023,1053.82946777343,1065.22489690309,1019.44504739241,1035.49769047789,8151639
12/14/2023,1064.92761230468,1079.98946997669,1053.33404979269,1070.17946733406,8004131
12/15/2023,1068.74267578125,1076.62033718137,1057.34724653358,1069.18853549812,11672787
12/18/2023,1084.34948730468,1092.37580913771,1062.99539486615,1069.18856309538,5448342
12/19/2023,1064.23400878906,1089.0066812469,1058.8830873461,1085.04305365365,5993252
12/20/2023,1002.94641113281,1073.99438521932,995.861402831056,1068.19760423072,8467564
12/21/2023,1009.6845703125,1018.65226541688,980.254624089152,987.091905704732,5352057
12/22/2023,1018.15686035156,1041.39357924261,1009.73415153113,1024.59775533188,5252106
12/26/2023,1019.39544677734,1031.53405598562,1016.76951936879,1024.69677436196,2176775
12/27/2023,1015.08502197265,1027.6200180721,1008.74319381164,1027.57042434447,2803997
12/28/2023,1007.70275878906,1021.82312127992,1005.42368507222,1020.18822170416,4865603
12/29/2023,1015.03546142578,1025.48957763171,1008.34683983362,1012.50866092033,2429250
1/1/2024,1038.32177734375,1048.32991290309,1013.69776491972,1017.21553282043,3989711
1/2/2024,1068.59411621093,1073.05319764091,1021.72416746284,1038.3218594522,6344621
1/3/2024,1084.29992675781,1133.5975473712,1053.08635792722,1094.95217643809,33060778
1/4/2024,1112.98657226562,1120.71569440426,1093.51534861385,1106.8429979218,9771995
1/5/2024,1143.75427246093,1149.45198705192,1115.16663300951,1118.83294010132,10622789
1/8/2024,1158.22143554687,1171.25188468274,1141.52467948774,1149.45193420641,8760094
1/9/2024,1186.21459960937,1218.71639359594,1167.78375586834,1171.25192994177,14701104
1/10/2024,1203.30773925781,1208.90638729266,1186.11552917157,1208.90638729266,7036728
1/11/2024,1192.01147460937,1212.47372744753,1189.08834747263,1209.8973935534,3721202
1/12/2024,1196.12365722656,1207.66774644101,1190.12874324605,1199.39369827797,3912779
1/15/2024,1192.16003417968,1204.29864336849,1178.2873379639,1202.9609432826,2825654
1/16/2024,1182.49877929687,1200.9792180237,1176.00841137962,1192.6555754889,3173587
1/17/2024,1156.23962402343,1193.745423789,1148.90688920293,1169.2700731836,5268593
1/18/2024,1143.55615234375,1173.53108596428,1133.0524424721,1160.40156958504,5918594
1/19/2024,1141.97058105468,1156.19019149593,1139.5429075922,1151.68151682525,2732559
1/23/2024,1126.76013183593,1196.22267640437,1119.97244424469,1188.24594900164,7201014
1/24/2024,1110.41027832031,1136.32251865613,1108.18073773432,1127.65208304398,18373913
1/25/2024,1135.87658691406,1145.24060839743,1101.49204614718,1111.94616194951,4305042
1/29/2024,1185.76879882812,1193.94378097891,1140.53387340166,1144.49750111114,6768033
1/30/2024,1176.55334472656,1206.13189303815,1170.2611097763,1189.08834185568,4683729
1/31/2024,1196.66870117187,1203.2086622968,1180.81419131249,1184.92647899933,5510242
2/1/2024,1207.76684570312,1228.22909729259,1189.38559536299,1202.56458450039,7433628
2/2/2024,1249.97937011718,1275.79254137733,1220.49989197662,1221.83771296301,10450227
2/5/2024,1247.10595703125,1279.50856504755,1237.49408729652,1257.95633946011,5611298
2/6/2024,1261.52355957031,1272.91898900497,1237.49406706678,1254.4881447201,4408002
2/7/2024,1244.23217773437,1274.65296884672,1240.76400385041,1268.36073470645,3359763
2/8/2024,1233.87719726562,1253.00174841319,1225.50408252275,1252.55588870179,3354609
2/9/2024,1259.93811035156,1263.90173791067,1220.89635470228,1241.20994594271,3538164
2/12/2024,1237.98950195312,1268.11309567719,1232.58910777312,1266.37900861532,2204823
2/13/2024,1253.29907226562,1259.44264654758,1215.4959505395,1238.58400830521,2245009
2/14/2024,1256.3212890625,1269.89678616965,1237.29592496526,1250.47491416002,3382943
2/15/2024,1255.52856445312,1265.93308630997,1250.62350300156,1263.4062254749,3382824
2/16/2024,1294.96655273437,1299.07884022692,1254.04217366954,1258.25352765197,5476230
2/19/2024,1295.115234375,1314.93337109076,1290.30936041348,1301.4570623161,2700240
2/20/2024,1288.67443847656,1300.9617083719,1281.93622309386,1299.07896104788,1856718
2/21/2024,1279.2607421875,1303.04250656588,1269.79753339447,1292.93530508919,2770510
2/22/2024,1299.029296875,1305.02433174893,1269.35168486741,1284.21528773471,2556009
2/23/2024,1308.69067382812,1319.88797000584,1286.19713593662,1300.11942604641,2924829
2/26/2024,1325.98205566406,1330.78792980375,1304.77662439992,1307.99707173563,2802425
